          R (AU)    Sigma_totale           Omega            Visc            Tmid            Teff              Cs               H             Rho        Pressure            Pbar
   0.7644331E-01   0.2008276E+05   0.2785751E-02   0.1702819E+17   0.1603771E+06   0.4953363E+04   0.2461276E+05   0.1751616E-01   0.3847407E-07   0.7422652E+05   0.7422652E-01
   0.7934551E-01   0.1999648E+05   0.2491115E-02   0.1748685E+17   0.1557439E+06   0.4843760E+04   0.2425463E+05   0.1825356E-01   0.3676120E-07   0.6887306E+05   0.6887306E-01
   0.8235789E-01   0.1990127E+05   0.2227641E-02   0.1795025E+17   0.1511804E+06   0.4735528E+04   0.2389664E+05   0.1901797E-01   0.3511563E-07   0.6386230E+05   0.6386230E-01
   0.8548464E-01   0.1979781E+05   0.1992033E-02   0.1841857E+17   0.1466921E+06   0.4628744E+04   0.2353924E+05   0.1981043E-01   0.3353567E-07   0.5917826E+05   0.5917826E-01
   0.8873009E-01   0.1968674E+05   0.1781345E-02   0.1889200E+17   0.1422835E+06   0.4523475E+04   0.2318283E+05   0.2063204E-01   0.3201956E-07   0.5480478E+05   0.5480478E-01
   0.9209876E-01   0.1956865E+05   0.1592940E-02   0.1937073E+17   0.1379584E+06   0.4419778E+04   0.2282776E+05   0.2148391E-01   0.3056548E-07   0.5072570E+05   0.5072570E-01
   0.9559533E-01   0.1944408E+05   0.1424462E-02   0.1985494E+17   0.1337200E+06   0.4317699E+04   0.2247436E+05   0.2236721E-01   0.2917155E-07   0.4692503E+05   0.4692503E-01
   0.9922464E-01   0.1931357E+05   0.1273803E-02   0.2034479E+17   0.1295707E+06   0.4217276E+04   0.2212293E+05   0.2328313E-01   0.2783588E-07   0.4338710E+05   0.4338710E-01
   0.1029917E+00   0.1917758E+05   0.1139079E-02   0.2084048E+17   0.1255125E+06   0.4118540E+04   0.2177372E+05   0.2423291E-01   0.2655657E-07   0.4009661E+05   0.4009661E-01
   0.1069019E+00   0.1903657E+05   0.1018603E-02   0.2134215E+17   0.1215467E+06   0.4021514E+04   0.2142697E+05   0.2521785E-01   0.2533171E-07   0.3703876E+05   0.3703876E-01
   0.1109604E+00   0.1889097E+05   0.9108704E-03   0.2184999E+17   0.1176744E+06   0.3926216E+04   0.2108289E+05   0.2623927E-01   0.2415940E-07   0.3419927E+05   0.3419927E-01
   0.1151731E+00   0.1874115E+05   0.8145317E-03   0.2236415E+17   0.1138961E+06   0.3832659E+04   0.2074167E+05   0.2729854E-01   0.2303778E-07   0.3156445E+05   0.3156445E-01
   0.1195457E+00   0.1858751E+05   0.7283824E-03   0.2288481E+17   0.1102121E+06   0.3740851E+04   0.2040346E+05   0.2839710E-01   0.2196499E-07   0.2912118E+05   0.2912118E-01
   0.1240843E+00   0.1843037E+05   0.6513446E-03   0.2341211E+17   0.1066224E+06   0.3650795E+04   0.2006843E+05   0.2953642E-01   0.2093920E-07   0.2685699E+05   0.2685699E-01
   0.1287952E+00   0.1827008E+05   0.5824548E-03   0.2394624E+17   0.1031266E+06   0.3562491E+04   0.1973670E+05   0.3071803E-01   0.1995864E-07   0.2475999E+05   0.2475999E-01
   0.1336849E+00   0.1810693E+05   0.5208512E-03   0.2448734E+17   0.9972428E+05   0.3475935E+04   0.1940839E+05   0.3194351E-01   0.1902155E-07   0.2281894E+05   0.2281894E-01
   0.1387603E+00   0.1794121E+05   0.4657631E-03   0.2503558E+17   0.9641456E+05   0.3391121E+04   0.1908361E+05   0.3321450E-01   0.1812624E-07   0.2102321E+05   0.2102321E-01
   0.1440284E+00   0.1777319E+05   0.4165014E-03   0.2559111E+17   0.9319656E+05   0.3308040E+04   0.1876243E+05   0.3453271E-01   0.1727104E-07   0.1936275E+05   0.1936275E-01
   0.1494965E+00   0.1760313E+05   0.3724500E-03   0.2615411E+17   0.9006920E+05   0.3226679E+04   0.1844494E+05   0.3589989E-01   0.1645434E-07   0.1782812E+05   0.1782812E-01
   0.1551722E+00   0.1743126E+05   0.3330576E-03   0.2672472E+17   0.8703126E+05   0.3147025E+04   0.1813121E+05   0.3731788E-01   0.1567456E-07   0.1641041E+05   0.1641041E-01
   0.1610633E+00   0.1725780E+05   0.2978316E-03   0.2730311E+17   0.8408141E+05   0.3069063E+04   0.1782129E+05   0.3878855E-01   0.1493020E-07   0.1510129E+05   0.1510129E-01
   0.1671782E+00   0.1708296E+05   0.2663313E-03   0.2788944E+17   0.8121820E+05   0.2992775E+04   0.1751523E+05   0.4031388E-01   0.1421976E-07   0.1389295E+05   0.1389295E-01
   0.1735251E+00   0.1690695E+05   0.2381626E-03   0.2848387E+17   0.7844013E+05   0.2918142E+04   0.1721307E+05   0.4189588E-01   0.1354184E-07   0.1277805E+05   0.1277805E-01
   0.1801131E+00   0.1672994E+05   0.2129732E-03   0.2908657E+17   0.7574561E+05   0.2845146E+04   0.1691484E+05   0.4353667E-01   0.1289505E-07   0.1174976E+05   0.1174976E-01
   0.1869512E+00   0.1655212E+05   0.1904480E-03   0.2969769E+17   0.7313299E+05   0.2773764E+04   0.1662057E+05   0.4523842E-01   0.1227806E-07   0.1080169E+05   0.1080169E-01
   0.1940488E+00   0.1637364E+05   0.1703052E-03   0.3031740E+17   0.7060058E+05   0.2703974E+04   0.1633027E+05   0.4700339E-01   0.1168960E-07   0.9927883E+04   0.9927883E-02
   0.2014160E+00   0.1619465E+05   0.1522928E-03   0.3094586E+17   0.6814667E+05   0.2635755E+04   0.1604396E+05   0.4883393E-01   0.1112842E-07   0.9122775E+04   0.9122775E-02
   0.2090628E+00   0.1601531E+05   0.1361854E-03   0.3158324E+17   0.6576949E+05   0.2569082E+04   0.1576164E+05   0.5073245E-01   0.1059335E-07   0.8381202E+04   0.8381202E-02
   0.2169999E+00   0.1583574E+05   0.1217817E-03   0.3222970E+17   0.6346726E+05   0.2503931E+04   0.1548332E+05   0.5270148E-01   0.1008322E-07   0.7698352E+04   0.7698352E-02
   0.2252384E+00   0.1565608E+05   0.1089014E-03   0.3288541E+17   0.6123821E+05   0.2440279E+04   0.1520899E+05   0.5474361E-01   0.9596951E-08   0.7069757E+04   0.7069757E-02
   0.2337897E+00   0.1547644E+05   0.9738341E-04   0.3355054E+17   0.5908055E+05   0.2378099E+04   0.1493865E+05   0.5686156E-01   0.9133475E-08   0.6491263E+04   0.6491263E-02
   0.2426656E+00   0.1529693E+05   0.8708360E-04   0.3422526E+17   0.5699247E+05   0.2317368E+04   0.1467229E+05   0.5905811E-01   0.8691778E-08   0.5959019E+04   0.5959019E-02
   0.2518785E+00   0.1511767E+05   0.7787316E-04   0.3490974E+17   0.5497219E+05   0.2258060E+04   0.1440989E+05   0.6133616E-01   0.8270884E-08   0.5469450E+04   0.5469450E-02
   0.2614411E+00   0.1493874E+05   0.6963687E-04   0.3560415E+17   0.5301793E+05   0.2200148E+04   0.1415144E+05   0.6369873E-01   0.7869859E-08   0.5019245E+04   0.5019245E-02
   0.2713668E+00   0.1476024E+05   0.6227169E-04   0.3630867E+17   0.5112792E+05   0.2143608E+04   0.1389691E+05   0.6614891E-01   0.7487803E-08   0.4605335E+04   0.4605335E-02
   0.2816694E+00   0.1458225E+05   0.5568549E-04   0.3702346E+17   0.4930041E+05   0.2088413E+04   0.1364628E+05   0.6868995E-01   0.7123856E-08   0.4224880E+04   0.4224880E-02
   0.2923630E+00   0.1440486E+05   0.4979589E-04   0.3774871E+17   0.4753366E+05   0.2034539E+04   0.1339954E+05   0.7132518E-01   0.6777194E-08   0.3875251E+04   0.3875251E-02
   0.3034627E+00   0.1422814E+05   0.4452920E-04   0.3848458E+17   0.4582598E+05   0.1981958E+04   0.1315664E+05   0.7405807E-01   0.6447026E-08   0.3554020E+04   0.3554020E-02
   0.3149838E+00   0.1405215E+05   0.3981955E-04   0.3923127E+17   0.4417566E+05   0.1930647E+04   0.1291757E+05   0.7689221E-01   0.6132596E-08   0.3258938E+04   0.3258938E-02
   0.3269422E+00   0.1387697E+05   0.3560801E-04   0.3998895E+17   0.4258105E+05   0.1880579E+04   0.1268228E+05   0.7983131E-01   0.5833178E-08   0.2987929E+04   0.2987929E-02
   0.3393547E+00   0.1370266E+05   0.3184191E-04   0.4075780E+17   0.4104051E+05   0.1831729E+04   0.1245075E+05   0.8287924E-01   0.5548081E-08   0.2739077E+04   0.2739077E-02
   0.3522385E+00   0.1352926E+05   0.2847414E-04   0.4153800E+17   0.3955244E+05   0.1784072E+04   0.1222294E+05   0.8603999E-01   0.5276641E-08   0.2510611E+04   0.2510611E-02
   0.3656113E+00   0.1335684E+05   0.2546256E-04   0.4232973E+17   0.3811527E+05   0.1737583E+04   0.1199882E+05   0.8931769E-01   0.5018223E-08   0.2300899E+04   0.2300899E-02
   0.3794919E+00   0.1318543E+05   0.2276950E-04   0.4313319E+17   0.3672745E+05   0.1692237E+04   0.1177835E+05   0.9271664E-01   0.4772221E-08   0.2108434E+04   0.2108434E-02
   0.3938994E+00   0.1301509E+05   0.2036127E-04   0.4394856E+17   0.3538747E+05   0.1648011E+04   0.1156149E+05   0.9624127E-01   0.4538055E-08   0.1931826E+04   0.1931826E-02
   0.4088540E+00   0.1284586E+05   0.1820775E-04   0.4477602E+17   0.3409386E+05   0.1604879E+04   0.1134821E+05   0.9989618E-01   0.4315171E-08   0.1769794E+04   0.1769794E-02
   0.4243762E+00   0.1267777E+05   0.1628200E-04   0.4561577E+17   0.3284515E+05   0.1562818E+04   0.1113845E+05   0.1036862E+00   0.4103039E-08   0.1621159E+04   0.1621159E-02
   0.4404878E+00   0.1251085E+05   0.1455992E-04   0.4646799E+17   0.3163996E+05   0.1521806E+04   0.1093219E+05   0.1076161E+00   0.3901155E-08   0.1484833E+04   0.1484833E-02
   0.4572111E+00   0.1234514E+05   0.1301999E-04   0.4733287E+17   0.3047688E+05   0.1481817E+04   0.1072938E+05   0.1116912E+00   0.3709034E-08   0.1359816E+04   0.1359816E-02
   0.4745693E+00   0.1218067E+05   0.1164292E-04   0.4821061E+17   0.2935459E+05   0.1442830E+04   0.1052997E+05   0.1159167E+00   0.3526216E-08   0.1245184E+04   0.1245184E-02
   0.4925865E+00   0.1201746E+05   0.1041150E-04   0.4910139E+17   0.2827177E+05   0.1404822E+04   0.1033393E+05   0.1202981E+00   0.3352260E-08   0.1140090E+04   0.1140090E-02
   0.5112877E+00   0.1185554E+05   0.9310324E-05   0.5000542E+17   0.2722713E+05   0.1367771E+04   0.1014122E+05   0.1248411E+00   0.3186746E-08   0.1043754E+04   0.1043754E-02
   0.5306989E+00   0.1169492E+05   0.8325613E-05   0.5092288E+17   0.2621945E+05   0.1331655E+04   0.9951783E+04   0.1295516E+00   0.3029272E-08   0.9554555E+03   0.9554555E-03
   0.5508471E+00   0.1153562E+05   0.7445050E-05   0.5185396E+17   0.2524749E+05   0.1296452E+04   0.9765585E+04   0.1344356E+00   0.2879457E-08   0.8745355E+03   0.8745355E-03
   0.5717602E+00   0.1137767E+05   0.6657621E-05   0.5279887E+17   0.2431009E+05   0.1262142E+04   0.9582580E+04   0.1394995E+00   0.2736934E-08   0.8003862E+03   0.8003862E-03
   0.5934673E+00   0.1122107E+05   0.5953474E-05   0.5375779E+17   0.2340610E+05   0.1228703E+04   0.9402725E+04   0.1447499E+00   0.2601356E-08   0.7324492E+03   0.7324492E-03
   0.6159985E+00   0.1106584E+05   0.5323802E-05   0.5473092E+17   0.2253441E+05   0.1196115E+04   0.9225974E+04   0.1501935E+00   0.2472390E-08   0.6702113E+03   0.6702113E-03
   0.6393851E+00   0.1091198E+05   0.4760727E-05   0.5571845E+17   0.2169393E+05   0.1164359E+04   0.9052285E+04   0.1558373E+00   0.2349719E-08   0.6132009E+03   0.6132009E-03
   0.6636596E+00   0.1075951E+05   0.4257207E-05   0.5672057E+17   0.2088360E+05   0.1133414E+04   0.8881614E+04   0.1616886E+00   0.2233042E-08   0.5609847E+03   0.5609847E-03
   0.6888557E+00   0.1060843E+05   0.3806941E-05   0.5773748E+17   0.2010242E+05   0.1103261E+04   0.8713916E+04   0.1677549E+00   0.2122070E-08   0.5131647E+03   0.5131647E-03
   0.7150083E+00   0.1045874E+05   0.3404298E-05   0.5876937E+17   0.1934939E+05   0.1073881E+04   0.8549147E+04   0.1740439E+00   0.2016529E-08   0.4693754E+03   0.4693754E-03
   0.7421539E+00   0.1031046E+05   0.3044241E-05   0.5981642E+17   0.1862355E+05   0.1045256E+04   0.8387265E+04   0.1805638E+00   0.1916156E-08   0.4292813E+03   0.4292813E-03
   0.7703300E+00   0.1016357E+05   0.2722265E-05   0.6087882E+17   0.1792396E+05   0.1017367E+04   0.8228224E+04   0.1873228E+00   0.1820704E-08   0.3925743E+03   0.3925743E-03
