          R (AU)    Sigma_totale           Omega            Visc            Tmid            Teff              Cs               H             Rho        Pressure            Pbar
   0.3969380E+01   0.4935177E+04   0.1989724E-07   0.1239316E+18   0.3119472E+04   0.3009064E+03   0.3432652E+04   0.9140776E+00   0.1811772E-09   0.6798815E+01   0.6798815E-05
   0.4120079E+01   0.4838793E+04   0.1779280E-07   0.1256572E+18   0.2990969E+04   0.2923866E+03   0.3361206E+04   0.9465047E+00   0.1715529E-09   0.6172464E+01   0.6172464E-05
   0.4276499E+01   0.4743164E+04   0.1591094E-07   0.1273815E+18   0.2867191E+04   0.2840799E+03   0.3290921E+04   0.9799850E+00   0.1624174E-09   0.5601931E+01   0.5601931E-05
   0.4438858E+01   0.4648294E+04   0.1422811E-07   0.1291017E+18   0.2747946E+04   0.2759785E+03   0.3221760E+04   0.1014541E+01   0.1537474E-09   0.5082351E+01   0.5082351E-05
   0.4607381E+01   0.4554194E+04   0.1272326E-07   0.1308146E+18   0.2633043E+04   0.2680746E+03   0.3153684E+04   0.1050192E+01   0.1455213E-09   0.4609282E+01   0.4609282E-05
   0.4782302E+01   0.4460882E+04   0.1137758E-07   0.1325160E+18   0.2522294E+04   0.2603596E+03   0.3086648E+04   0.1086956E+01   0.1377186E-09   0.4178660E+01   0.4178660E-05
   0.4963863E+01   0.4368382E+04   0.1017423E-07   0.1342011E+18   0.2415513E+04   0.2528247E+03   0.3020604E+04   0.1124846E+01   0.1303201E-09   0.3786774E+01   0.3786774E-05
   0.5152318E+01   0.4276727E+04   0.9098144E-08   0.1358643E+18   0.2312513E+04   0.2454605E+03   0.2955502E+04   0.1163871E+01   0.1233078E-09   0.3430232E+01   0.3430232E-05
   0.5347928E+01   0.4185951E+04   0.8135875E-08   0.1374988E+18   0.2213113E+04   0.2382574E+03   0.2891285E+04   0.1204034E+01   0.1166646E-09   0.3105929E+01   0.3105929E-05
   0.5550964E+01   0.4096090E+04   0.7275380E-08   0.1390971E+18   0.2117134E+04   0.2312057E+03   0.2827895E+04   0.1245332E+01   0.1103743E-09   0.2811026E+01   0.2811026E-05
   0.5761708E+01   0.4007167E+04   0.6505895E-08   0.1406505E+18   0.2024405E+04   0.2242956E+03   0.2765272E+04   0.1287758E+01   0.1044208E-09   0.2542922E+01   0.2542922E-05
   0.5980454E+01   0.3919192E+04   0.5817796E-08   0.1421499E+18   0.1934766E+04   0.2175183E+03   0.2703357E+04   0.1331294E+01   0.9878851E-10   0.2299235E+01   0.2299235E-05
   0.6207504E+01   0.3832148E+04   0.5202474E-08   0.1435856E+18   0.1848070E+04   0.2108659E+03   0.2642094E+04   0.1375920E+01   0.9346152E-10   0.2077781E+01   0.2077781E-05
   0.6443174E+01   0.3745979E+04   0.4652232E-08   0.1449479E+18   0.1764189E+04   0.2043322E+03   0.2581438E+04   0.1421611E+01   0.8842362E-10   0.1876558E+01   0.1876558E-05
   0.6687791E+01   0.3660587E+04   0.4160186E-08   0.1462276E+18   0.1683016E+04   0.1979134E+03   0.2521351E+04   0.1468340E+01   0.8365805E-10   0.1693732E+01   0.1693732E-05
   0.6941696E+01   0.3575821E+04   0.3720182E-08   0.1474167E+18   0.1604469E+04   0.1916078E+03   0.2461812E+04   0.1516081E+01   0.7914745E-10   0.1527626E+01   0.1527626E-05
   0.7205240E+01   0.3491477E+04   0.3326715E-08   0.1485086E+18   0.1528487E+04   0.1854169E+03   0.2402813E+04   0.1564812E+01   0.7487398E-10   0.1376706E+01   0.1376706E-05
   0.7478789E+01   0.3407307E+04   0.2974863E-08   0.1494985E+18   0.1455033E+04   0.1793443E+03   0.2344367E+04   0.1614514E+01   0.7081955E-10   0.1239580E+01   0.1239580E-05
   0.7762724E+01   0.3323026E+04   0.2660225E-08   0.1503841E+18   0.1384088E+04   0.1733962E+03   0.2286499E+04   0.1665181E+01   0.6696624E-10   0.1114983E+01   0.1114983E-05
   0.8057439E+01   0.3238336E+04   0.2378865E-08   0.1511648E+18   0.1315643E+04   0.1675800E+03   0.2229247E+04   0.1716813E+01   0.6329693E-10   0.1001773E+01   0.1001773E-05
   0.8363342E+01   0.3152957E+04   0.2127263E-08   0.1518415E+18   0.1249693E+04   0.1619032E+03   0.2172656E+04   0.1769417E+01   0.5979595E-10   0.8989259E+00   0.8989259E-06
   0.8680860E+01   0.3066661E+04   0.1902272E-08   0.1524153E+18   0.1186226E+04   0.1563722E+03   0.2116766E+04   0.1822998E+01   0.5644991E-10   0.8055253E+00   0.8055253E-06
   0.9010432E+01   0.2979320E+04   0.1701078E-08   0.1528857E+18   0.1125204E+04   0.1509899E+03   0.2061602E+04   0.1877555E+01   0.5324862E-10   0.7207562E+00   0.7207562E-06
   0.9352516E+01   0.2890963E+04   0.1521162E-08   0.1532477E+18   0.1066557E+04   0.1457535E+03   0.2007157E+04   0.1933051E+01   0.5018605E-10   0.6438963E+00   0.6438963E-06
   0.9707587E+01   0.2801833E+04   0.1360276E-08   0.1534876E+18   0.1010158E+04   0.1406511E+03   0.1953367E+04   0.1989391E+01   0.4726133E-10   0.5743067E+00   0.5743067E-06
   0.1007614E+02   0.2712446E+04   0.1216405E-08   0.1535779E+18   0.9558074E+03   0.1356589E+03   0.1900091E+04   0.2046374E+01   0.4447950E-10   0.5114215E+00   0.5114215E-06
   0.1045868E+02   0.2623537E+04   0.1087752E-08   0.1534769E+18   0.9032550E+03   0.1307431E+03   0.1847117E+04   0.2103678E+01   0.4184963E-10   0.4547270E+00   0.4547270E-06
   0.1085575E+02   0.2535198E+04   0.9727052E-09   0.1531772E+18   0.8524857E+03   0.1259038E+03   0.1794456E+04   0.2161185E+01   0.3936441E-10   0.4036821E+00   0.4036821E-06
   0.1126789E+02   0.2439234E+04   0.8698265E-09   0.1531903E+18   0.8062134E+03   0.1215735E+03   0.1745075E+04   0.2222530E+01   0.3682897E-10   0.3571809E+00   0.3571809E-06
   0.1169568E+02   0.4169339E+04   0.7778289E-09   0.1507304E+18   0.7988201E+03   0.1074676E+03   0.1737055E+04   0.2339491E+01   0.5980390E-10   0.5746814E+00   0.5746814E-06
   0.1213971E+02   0.3835976E+04   0.6955614E-09   0.1549532E+18   0.7378997E+03   0.1030965E+03   0.1669505E+04   0.2377770E+01   0.5413644E-10   0.4805468E+00   0.4805468E-06
   0.1260060E+02   0.3530649E+04   0.6219950E-09   0.1592751E+18   0.6816799E+03   0.9890524E+02   0.1604647E+04   0.2416773E+01   0.4902330E-10   0.4020052E+00   0.4020052E-06
   0.1307899E+02   0.3250949E+04   0.5562094E-09   0.1637009E+18   0.6298413E+03   0.9489163E+02   0.1542427E+04   0.2456605E+01   0.4440773E-10   0.3364638E+00   0.3364638E-06
   0.1357554E+02   0.2994674E+04   0.4973816E-09   0.1682372E+18   0.5820794E+03   0.9105285E+02   0.1482792E+04   0.2497383E+01   0.4023908E-10   0.2817598E+00   0.2817598E-06
   0.1409094E+02   0.2759816E+04   0.4447758E-09   0.1728921E+18   0.5381075E+03   0.8738584E+02   0.1425685E+04   0.2539235E+01   0.3647212E-10   0.2360906E+00   0.2360906E-06
   0.1462591E+02   0.2544546E+04   0.3977339E-09   0.1776759E+18   0.4976556E+03   0.8388735E+02   0.1371051E+04   0.2582303E+01   0.3306641E-10   0.1979541E+00   0.1979541E-06
   0.1518118E+02   0.2347198E+04   0.3556674E-09   0.1826017E+18   0.4604702E+03   0.8055392E+02   0.1318833E+04   0.2626744E+01   0.2998581E-10   0.1660986E+00   0.1660986E-06
   0.1575754E+02   0.2166254E+04   0.3180500E-09   0.1876859E+18   0.4263130E+03   0.7738184E+02   0.1268976E+04   0.2672733E+01   0.2719803E-10   0.1394809E+00   0.1394809E-06
   0.1635578E+02   0.2000332E+04   0.2844113E-09   0.1929485E+18   0.3949599E+03   0.7436714E+02   0.1221422E+04   0.2720458E+01   0.2467423E-10   0.1172318E+00   0.1172318E-06
   0.1697674E+02   0.1848174E+04   0.2543304E-09   0.1984141E+18   0.3662004E+03   0.7150552E+02   0.1176112E+04   0.2770124E+01   0.2238862E-10   0.9862675E-01   0.9862675E-07
   0.1762126E+02   0.1708635E+04   0.2274310E-09   0.2041127E+18   0.3398362E+03   0.6879236E+02   0.1132985E+04   0.2821948E+01   0.2031814E-10   0.8306199E-01   0.8306199E-07
   0.1829026E+02   0.1580672E+04   0.2033767E-09   0.2100804E+18   0.3156812E+03   0.6622265E+02   0.1091977E+04   0.2876158E+01   0.1844220E-10   0.7003417E-01   0.7003417E-07
   0.1898466E+02   0.1463334E+04   0.1818664E-09   0.2163606E+18   0.2935603E+03   0.6379104E+02   0.1053023E+04   0.2932995E+01   0.1674233E-10   0.5912374E-01   0.5912374E-07
   0.1970542E+02   0.1355756E+04   0.1626312E-09   0.2230048E+18   0.2733091E+03   0.6149179E+02   0.1016053E+04   0.2992706E+01   0.1520202E-10   0.4998089E-01   0.4998089E-07
   0.2045354E+02   0.1257146E+04   0.1454305E-09   0.2300734E+18   0.2547733E+03   0.5931881E+02   0.9809935E+03   0.3055542E+01   0.1380643E-10   0.4231399E-01   0.4231399E-07
   0.2123007E+02   0.1166782E+04   0.1300489E-09   0.2376374E+18   0.2378084E+03   0.5726570E+02   0.9477695E+03   0.3121757E+01   0.1254222E-10   0.3587982E-01   0.3587982E-07
   0.2203607E+02   0.1084001E+04   0.1162942E-09   0.2457787E+18   0.2222791E+03   0.5532579E+02   0.9163016E+03   0.3191605E+01   0.1139736E-10   0.3047556E-01   0.3047556E-07
   0.2287268E+02   0.1008195E+04   0.1039943E-09   0.2545915E+18   0.2080593E+03   0.5349219E+02   0.8865081E+03   0.3265335E+01   0.1036097E-10   0.2593202E-01   0.2593202E-07
   0.2374105E+02   0.9388031E+03   0.9299531E-10   0.2641831E+18   0.1950316E+03   0.5175791E+02   0.8583051E+03   0.3343189E+01   0.9423176E-11   0.2210808E-01   0.2210808E-07
   0.2464239E+02   0.8753079E+03   0.8315961E-10   0.2746746E+18   0.1830872E+03   0.5011592E+02   0.8316070E+03   0.3425403E+01   0.8574975E-11   0.1888598E-01   0.1888598E-07
   0.2557795E+02   0.8172299E+03   0.7436419E-10   0.2862026E+18   0.1721253E+03   0.4855924E+02   0.8063277E+03   0.3512202E+01   0.7808157E-11   0.1616747E-01   0.1616747E-07
   0.2654902E+02   0.7641241E+03   0.6649903E-10   0.2989194E+18   0.1620535E+03   0.4708106E+02   0.7823812E+03   0.3603799E+01   0.7115200E-11   0.1387057E-01   0.1387057E-07
   0.2755697E+02   0.7155769E+03   0.5946572E-10   0.3129954E+18   0.1527868E+03   0.4567483E+02   0.7596825E+03   0.3700399E+01   0.6489205E-11   0.1192686E-01   0.1192686E-07
